Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
Pik3cd,"AW545373; p110delta","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","Phosphoinositide-3-kinase (PI3K) that phosphorylates PtdIns(4,5)P2 (Phosphatidylinositol 4,5-bisphosphate) to generate phosphatidylinositol 3,4,5-trisphosphate (PIP3). PIP3 plays a key role by recruiting PH domain-containing proteins to the membrane, including AKT1 and PDPK1, activating signaling cascades involved in cell growth, survival, proliferation, motility and morphology.","altered intercellular communication","Mus musculus","Cognitive impairment and transcriptomic profile in hippocampus of young mice after multiple neonatal exposures to sevoflurane",10.1126/science.1102811,mmu04211,"Longevity regulating pathway",18707
Pik3r1,"Grb1; Imd36","phosphoinositide-3-kinase regulatory subunit 1","Binds to activated (phosphorylated) protein-Tyr kinases, through its SH2 domain, and acts as an adapter, mediating the association of the p110 catalytic unit to the plasma membrane. Necessary for the insulin-stimulated increase in glucose uptake and glycogen synthesis in insulin-sensitive tissues.","mitochondrial dysfunction","Mus musculus","Impaired B Cell Development and Proliferation in Absence of Phosphoinositide 3-kinase p85alpha",10.1126/science.1102812,mmu04211,"Longevity regulating pathway",18708
Pik3r2,p85beta,"phosphoinositide-3-kinase regulatory subunit 2","Regulatory subunit of phosphoinositide-3-kinase (PI3K), a kinase that phosphorylates PtdIns(4,5)P2 (Phosphatidylinositol 4,5-bisphosphate) to generate phosphatidylinositol 3,4,5-trisphosphate (PIP3).","altered intercellular communication","Mus musculus","MiR-126 Regulates Growth Factor Activities and Vulnerability to Toxic Insult in Neurons",10.1126/science.1102813,mmu04211,"Longevity regulating pathway",18709
Pik3r3,"Phosphatidylinositol 3-Kinase Regulatory Subunit Gamma","phosphoinositide-3-kinase regulatory subunit 3","Binds to activated (phosphorylated) protein-tyrosine kinases through its SH2 domain and regulates their kinase activity. During insulin stimulation, it also binds to IRS-1.","altered intercellular communication","Mus musculus","The structure and function of p55PIK reveal a new regulatory subunit for phosphatidylinositol 3-kinase",10.1126/science.1102814,mmu04211,"Longevity regulating pathway",18710
Pin1,"0610025L01Rik; D9Bwg1161e","protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1","Peptidyl-prolyl cis/trans isomerase (PPIase) that binds to and isomerizes specific phosphorylated Ser/Thr-Pro (pSer/Thr-Pro) motifs. By inducing conformational changes in a subset of phosphorylated proteins, acts as a molecular switch in multiple cellular processes.","cellular senescence","Mus musculus","Downregulation of Pin1 in human atherosclerosis and its association with vascular smooth muscle cell senescence",10.1126/science.1102815,unknown,Unknown,23988
Plau,"u-PA; uPA","plasminogen activator, urokinase","Specifically cleaves the zymogen plasminogen to form the active enzyme plasmin.",others,"Mus musculus","Tau induces blood vessel abnormalities and angiogenesis-related gene expression in P301L transgenic mice and human Alzheimer's disease",10.1126/science.1102816,mmu04064,"NF-kappa B signaling pathway",18792
Plaur,Upar,"Plasminogen Activator, Urokinase Receptor","Acts as a receptor for urokinase plasminogen activator. Plays a role in localizing and promoting plasmin formation. Mediates the proteolysis-independent signal transduction activation effects of U-PA. It is subject to negative-feedback regulation by U-PA which cleaves it into an inactive form.",others,"Mus musculus","Urokinase-type plasminogen activator receptor is associated with the development of adipose tissue",10.1160/TH10-02-0101,mmu04610,"Complement and coagulation cascades",18793
Plcg1,Plc-Gamma-1,"Phospholipase C Gamma 1","Mediates the production of the second messenger molecules diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3). Plays an important role in the regulation of intracellular signaling cascades. Becomes activated in response to ligand-mediated activation of receptor-type tyrosine kinases, such as PDGFRA, PDGFRB, FGFR1, FGFR2, FGFR3 and FGFR4. Plays a role in actin reorganization and cell migration.","NF-κB related gene","Mus musculus","Forebrain-specific ablation of phospholipase Cγ1 causes manic-like behavior",10.1038/mp.2016.261,mmu04064,"NF-kappa B signaling pathway",18803
Plcg2,"PLC-gamma-2; PLCgamma2; Plcg-2","phospholipase C, gamma 2","The production of the second messenger molecules diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3) is mediated by activated phosphatidylinositol-specific phospholipase C enzymes.",others,"Mus musculus","Phospholipase Cγ2 Is Required for Luminal Expansion of the Epididymal Duct during Postnatal Development in Mice",10.1126/science.1102817,mmu04935,"Growth hormone synthesis, secretion and action",234779
Pmch,Mch,"pro-melanin-concentrating hormone","MCH may act as a neurotransmitter or neuromodulator in a broad array of neuronal functions directed toward the regulation of goal-directed behavior, such as food intake, and general arousal.",others,"Mus musculus","Association of pro-melanin concentrating hormone genotype with beef carcass quality and yield",10.1126/science.1102818,unknown,Unknown,110312
Pml,"AI661194; Trim19","promyelocytic leukemia","Functions via its association with PML-nuclear bodies (PML-NBs) in a wide range of important cellular processes, including tumor suppression, transcriptional regulation, apoptosis, senescence, DNA damage response, and viral defense mechanisms.","cellular senescence","Mus musculus","Acute leukemia with promyelocytic features in PML/RARalpha transgenic mice",10.1126/science.1102819,unknown,Unknown,18854
Pola1,"DNA Polymerase Alpha Catalytic Subunit P180","polymerase (DNA directed), alpha 1","Catalytic subunit of the DNA polymerase alpha complex (also known as the alpha DNA polymerase-primase complex) which plays an essential role in the initiation of DNA synthesis. During the S phase of the cell cycle, the DNA polymerase alpha complex (composed of a catalytic subunit POLA1, a regulatory subunit POLA2 and two primase subunits PRIM1 and PRIM2) is recruited to DNA at the replicative forks via direct interactions with MCM10 and WDHD1. The primase subunit of the polymerase alpha complex initiates DNA synthesis by oligomerising short RNA primers on both leading and lagging strands. These primers are initially extended by the polymerase alpha catalytic subunit and subsequently transferred to polymerase delta and polymerase epsilon for processive synthesis on the lagging and leading strand, respectively.","genomic instability","Mus musculus","Enzymatic characterization of the individual mammalian primase subunits reveals a biphasic mechanism for initiation of DNA replication",10.1126/science.1102820,unknown,Unknown,18968
Polb,A430088C08Rik,"polymerase (DNA directed), beta","Repair polymerase that plays a key role in base-excision repair. Has 5'-deoxyribose-5-phosphate lyase (dRP lyase) activity that removes the 5' sugar phosphate and also acts as a DNA polymerase that adds one nucleotide to the 3' end of the arising single-nucleotide gap.","genomic instability","Mus musculus","Mutagenesis is elevated in male germ cells obtained from DNA polymerase-beta heterozygous mice",10.1126/science.1102821,unknown,Unknown,18970
Pold1,125kDa,"polymerase (DNA directed), delta 1, catalytic subunit","As the catalytic component of the trimeric (Pol-delta3 complex) and tetrameric DNA polymerase delta complexes (Pol-delta4 complex), plays a crucial role in high fidelity genome replication, including in lagging strand synthesis, and repair. Exhibits both DNA polymerase and 3'- to 5'-exonuclease activities. Requires the presence of accessory proteins POLD2, POLD3 and POLD4 for full activity.","genomic instability","Mus musculus","POLD1 deficiency is involved in cognitive function impairment in AD patients and SAMP8 mice",10.1126/science.1102822,unknown,Unknown,18971
Polg,"Mtdps4a; Miras","polymerase (DNA directed), gamma","Involved in the replication of mitochondrial DNA. Associates with mitochondrial DNA.","mitochondrial dysfunction","Mus musculus","Parkin Does Not Prevent Accelerated Cardiac Aging in Mitochondrial DNA Mutator Mice",10.1126/science.1102823,unknown,Unknown,18975
Pon1,Pon,"paraoxonase 1","Hydrolyzes the toxic metabolites of a variety of organophosphorus insecticides. Capable of hydrolyzing a broad spectrum of organophosphate substrates and lactones, and a number of aromatic carboxylic acid esters. Mediates an enzymatic protection of low density lipoproteins against oxidative modification.",others,"Mus musculus","Alzheimer's Disease Markers in Aged ApoE-PON1 Deficient Mice",10.1126/science.1102824,unknown,Unknown,18979
Pou1f1,"Pou1f1a; Cphd1","pou domain, class 1, transcription factor 1","Transcription factor involved in the specification of the lactotrope, somatotrope, and thyrotrope phenotypes in the developing anterior pituitary. Specifically binds to the consensus sequence 5'-TAAAT-3'. Activates growth hormone and prolactin genes.","loss of proteostasis","Mus musculus","Long-lived Mus musculus With Reduced Growth Hormone Signaling Have a Constitutive Upregulation of Hepatic Chaperone-Mediated Autophagy",10.1126/science.1102825,mmu04935,"Growth hormone synthesis, secretion and action",18736
Ppara,"PKCalpha; Aag6","peroxisome proliferator activated receptor alpha","Calcium-activated, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase that is involved in positive and negative regulation of cell proliferation, apoptosis, differentiation, migration and adhesion, tumorigenesis, cardiac hypertrophy, angiogenesis, platelet function and inflammation, by directly phosphorylating targets or activating signaling cascade involving MAPK1/3 (ERK1/2) and RAP1GAP.",others,"Mus musculus","Reverse Expression of Aging-Associated Molecules Through Transfection of miRNAs to Aged Mice",10.1126/science.1102826,unknown,Unknown,19013
Pparg,Nr1c3,"peroxisome proliferator activated receptor gamma","Nuclear receptor that binds peroxisome proliferators such as hypolipidemic drugs and fatty acids. Once activated by a ligand, the nuclear receptor binds to DNA specific PPAR response elements (PPRE) and modulates the transcription of its target genes, such as acyl-CoA oxidase.","deregulated nutrient sensing","Mus musculus","Ppargamma2 is a key driver of longevity in the mouse",10.1126/science.1102827,mmu04211,"Longevity regulating pathway",19016
