Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
Taf1,"Nscl2; Tafii250; Kat4","TATA-box binding protein associated factor 1","Essential in cell cycle progression, TAF1 is also involved in transcription as part of the TFIID transcription factor together with?TBP. due to TAF1's importance in cell cycle control and its relation with other proteins previously related to ageing, TAF1 might play some role in human ageing.","cellular senescence","Mus musculus","Sustained Expression of a Neuron-Specific Isoform of the Taf1 Gene in Development Stages and Aging in Mice",10.1126/science.1102898,unknown,Unknown,270627
Tbp,"Tfiid; Gtf2d1; Sca17","TATA box binding protein","TBP is part of the TFIID general transcription factor. Because of its central role in the activation of eukaryotic genes, TBP is potentially involved in a large variety of processes. TBP-null mice die at embryonic stages. Mutations in the human TBP gene have been associated with neurological diseases.","genomic instability","Mus musculus","RNA Polymerase II Transcription in Murine Cells Lacking the TATA Binding Protein",10.1126/science.1102899,unknown,Unknown,21374
Tcf3,"Kappa-E2-Binding Factor","transcription factor 3","Transcriptional regulator. Involved in the initiation of neuronal differentiation. Heterodimers between TCF3 and tissue-specific basic helix-loop-helix (bHLH) proteins play major roles in determining tissue-specific cell fate during embryogenesis, like muscle or early B-cell differentiation. Dimers bind DNA on E-box motifs: 5'-CANNTG-3'. Binds to the kappa-E2 site in the kappa immunoglobulin gene enhancer. Binds to IEB1 and IEB2, which are short DNA sequences in the insulin gene transcription control region.","cellular senescence","Mus musculus","E protein dosage influences brain development more than family member identity",10.1126/science.1102900,mmu04550,"Signaling pathways regulating pluripotency of stem cells",21423
Terc,"mTER; mTR","telomerase RNA component","The RNA component of Telomerase TERC is imported into mitochondria, processed to a shorter form TERC-53, and then exported back to the cytosol.","telomere attrition","Mus musculus","Mitochondrion-processed TERC regulates senescence without affecting telomerase activities",10.1126/science.1102901,unknown,Unknown,21748
Terf1,"Pin2; Trf1; TRrf","telomeric repeat binding factor 1","TERF1 associates with the telomeres and appears to be an important regulator of telomere biology. Expression of TERF1 in mice prevented age-related decline in neuromuscular function, glucose homeostasis, cognitive function, lipid stores, and chronic anemia.","telomere attrition","Mus musculus","Gene Therapy With the TRF1 Telomere Gene Rescues Decreased TRF1 Levels With Aging and Prolongs Mouse Health Span",10.1126/science.1102902,unknown,Unknown,21749
Terf2,"Trf2; Trbf2","telomeric repeat binding factor 2","TERF2 is a component of shelterin and together with?TERF1, appears to play an important role in telomere biology. In mice, overexpression of TERF2 in the skin results in a severe phenotype in response to light, including skin deterioration, hyperpigmentation and increased skin cancer.",others,"Mus musculus","Essential Role for the TRF2 Telomere Protein in Adult Skin Homeostasis",10.1126/science.1102903,unknown,Unknown,21750
Tert,"Tp2; Tr; Trt","telomerase reverse transcriptase","Telomerase is a ribonucleoprotein enzyme essential for the replication of chromosome termini in most eukaryotes. Active in progenitor and cancer cells. Inactive, or very low activity, in normal somatic cells.","telomere attrition","Mus musculus","Telomerase reverse transcriptase ameliorates lung fibrosis by protecting alveolar epithelial cells against senescence",10.1126/science.1102904,unknown,Unknown,21752
Tfap2a,"Ap-2; Tfap2; Ap2tf","transcription factor AP-2, alpha","Sequence-specific DNA-binding protein that interacts with inducible viral and cellular enhancer elements to regulate transcription of selected genes. AP-2 factors bind to the consensus sequence 5'-GCCNNNGGC-3' and activate genes involved in a large spectrum of important biological functions including proper eye, face, body wall, limb and neural tube development.","genomic instability","Mus musculus","Transcription Factor AP-2 Essential for Cranial Closure and Craniofacial Development",10.1126/science.1102905,unknown,Unknown,21418
Tfdp1,Dp1,"transcription factor Dp 1","Can stimulate E2F-dependent transcription. Binds DNA cooperatively with E2F family members through the E2 recognition site, 5'-TTTC[CG]CGC-3', found in the promoter region of a number of genes whose products are involved in cell cycle regulation or in DNA replication. The E2F1:DP complex appears to mediate both cell proliferation and apoptosis. Blocks adipocyte differentiation by repressing CEBPA binding to its target gene promoters.","cellular senescence","Mus musculus","Expression patterns of the E2F family of transcription factors during murine epithelial development",10.1126/science.1102906,mmu04110,"Cell cycle",21781
Tgfb1,"TGFbeta1; Tgfb; Tgfb-1","transforming growth factor, beta 1","Transforming growth factor beta-1 proprotein: Precursor of the Latency-associated peptide (LAP) and Transforming growth factor beta-1 (TGF-beta-1) chains, which constitute the regulatory and active subunit of TGF-beta-1, respectively.","altered intercellular communication","Mus musculus","Chronic treatment with the mitochondrial peptide humanin prevents age-related myocardial fibrosis in mice",10.1126/science.1102907,mmu04218,"Cellular senescence",21803
Timp2,Csc-21k,"TIMP Metallopeptidase Inhibitor 2","Complexes with metalloproteinases (such as collagenases) and irreversibly inactivates them by binding to their catalytic zinc cofactor. Known to act on MMP-1, MMP-2, MMP-3, MMP-7, MMP-8, MMP-9, MMP-10, MMP-13, MMP-14, MMP-15, MMP-16 and MMP-19.","senescence-associated secretory phenotype","Mus musculus","Protective Effects of Kuding Tea ( Ilex kudingcha C. J. Tseng) Polyphenols on UVB-Induced Skin Aging in SKH1 Hairless Mice",10.3390/molecules24061016,unknown,Unknown,21858
Tirap,Myd88-2,"TIR Domain Containing Adaptor Protein","Adapter involved in TLR2 and TLR4 signaling pathways in the innate immune response. Acts via IRAK2 and TRAF-6, leading to the activation of NF-kappa-B, MAPK1, MAPK3 and JNK, and resulting in cytokine secretion and the inflammatory response. Positively regulates the production of TNF-alpha and interleukin-6.","NF-κB related gene","Mus musculus","Experimental study and biomechanical characterization for the passive small intestine: Identification of regional differences",10.1016/j.jmbbm.2017.05.026,mmu04064,"NF-kappa B signaling pathway",117149
Tlr2,"Ly10; Ly105","toll-like receptor 2","TLR2 signaling is essential for protecting the heart against aging-associated adverse remodeling and contractile dysfunction in mice.",others,"Mus musculus","Toll-like receptor 2 deficiency hyperactivates the FoxO1 transcription factor and induces aging-associated cardiac dysfunction in mice",10.1074/jbc.RA118.001880,mmu04151,"PI3K-Akt signaling pathway",24088
Tlr4,Armd10,"Toll Like Receptor 4","Cooperates with LY96 and CD14 to mediate the innate immune response to bacterial lipopolysaccharide (LPS) . Acts via MYD88, TIRAP and TRAF6, leading to NF-kappa-B activation, cytokine secretion and the inflammatory response . Also involved in LPS-independent inflammatory responses triggered by free fatty acids, such as palmitate, and Ni(2+). Responses triggered by Ni(2+) require non-conserved histidines and are, therefore, species-specific. Both M.tuberculosis HSP70 (dnaK) and HSP65 (groEL-2) act via this protein to stimulate NF-kappa-B expression.","NF-κB related gene","Mus musculus","Toll-like receptor 4 (TLR4) deficient mice are protected from adipose tissue inflammation in aging",10.18632/aging.101288,mmu04064,"NF-kappa B signaling pathway",21898
Tnf,"Tnfsf2; Dif; Tnf-alpha","tumor necrosis factor","A cytokine involved in the immune response, TNF can induce cell death in some tumour cells. It can also induce cellular proliferation and differentiation. TNF may protect neurons by stimulating antioxidant pathways.","altered intercellular communication","Mus musculus","Characterization of Tumor Necrosis Factor-Deficient Mus musculus",10.1126/science.1102908,mmu04150,"mTOR signaling pathway",21926
